Date ,BTC_Price
10/14/2019,8353.30
10/15/2019,8167.20
10/16/2019,8000.40
10/17/2019,8073.30
10/18/2019,7948.50
10/19/2019,7957.30
10/20/2019,8223.40
10/21/2019,8208.20
10/22/2019,8031.40
10/23/2019,7477.00
10/24/2019,7422.70
10/25/2019,8658.30
10/26/2019,9230.60
10/27/2019,9529.60
10/28/2019,9207.20
10/29/2019,9411.30
10/30/2019,9157.90
10/31/2019,9152.60
11/1/2019,9230.10
11/2/2019,9300.60
11/3/2019,9198.30
11/4/2019,9396.40
11/5/2019,9310.80
11/6/2019,9338.90
11/7/2019,9223.50
11/8/2019,8778.20
11/9/2019,8804.50
11/10/2019,9036.80
11/11/2019,8736.90
11/12/2019,8812.60
11/13/2019,8783.10
11/14/2019,8661.20
11/15/2019,8476.30
11/16/2019,8497.30
11/17/2019,8509.80
11/18/2019,8208.40
11/19/2019,8145.70
11/20/2019,8099.30
11/21/2019,7627.90
11/22/2019,7272.50
11/23/2019,7324.10
11/24/2019,6924.70
11/25/2019,7115.60
11/26/2019,7162.80
11/27/2019,7510.60
