Date,Price
10/14/2020,167064992
10/13/2020,166515008
10/12/2020,167419008
10/11/2020,164904992
10/10/2020,164303008
10/09/2020,162198000
10/08/2020,160203008
10/07/2020,157728000
10/06/2020,157596992
10/05/2020,159499008
10/04/2020,158719008
10/03/2020,157456992
10/02/2020,157598000
10/01/2020,157980992
09/30/2020,160488000
09/29/2020,161898000
09/28/2020,160559008
09/27/2020,160588992
09/26/2020,160971008
09/25/2020,160399008
09/24/2020,160068992
09/23/2020,153302000
09/22/2020,156600992
09/21/2020,154560992
09/20/2020,161795008
09/19/2020,163782000
09/18/2020,162735008
09/17/2020,163284000
09/16/2020,164628992
09/15/2020,162106000
09/14/2020,159347008
09/13/2020,154699008
09/12/2020,156000000
09/11/2020,155788992
09/10/2020,154410000
09/09/2020,151744992
09/08/2020,150600000
09/07/2020,154300000
09/06/2020,154202000
09/05/2020,152100992
09/04/2020,156811008
09/03/2020,155860992
09/02/2020,169500992
09/01/2020,174588000
08/31/2020,171000992
08/30/2020,171600000
08/29/2020,168800992
08/28/2020,169899008
08/27/2020,168266000
08/26/2020,170080992
08/25/2020,170160000
08/24/2020,175251008
08/23/2020,174563008
08/22/2020,175472000
08/21/2020,174832992
08/20/2020,178852000
08/19/2020,178048000
08/18/2020,181400000
08/17/2020,183130000
08/16/2020,177404992
08/15/2020,177300992
08/14/2020,175436000
08/13/2020,174579008
08/12/2020,172763008
08/11/2020,170851008
08/10/2020,173900000
08/09/2020,171596000
08/08/2020,172415008
08/07/2020,170602000
08/06/2020,171404992
08/05/2020,169692000
08/04/2020,164860000
08/03/2020,165184000
08/02/2020,161560000
08/01/2020,170700000
07/31/2020,165096000
07/30/2020,161963008
07/29/2020,161823008
07/28/2020,159020000
07/27/2020,149990000
07/26/2020,143788000
07/25/2020,140500000
07/24/2020,139002000
07/23/2020,139587008
07/22/2020,138496000
07/21/2020,137375008
07/20/2020,134356992
07/19/2020,133989000
07/18/2020,133700000
07/17/2020,134200000
07/16/2020,133523000
07/15/2020,133567000
07/14/2020,133503000
07/13/2020,133001000
07/12/2020,133164000
07/11/2020,132590000
07/10/2020,133699000
07/09/2020,132900000
07/08/2020,134081000
07/07/2020,132905000
07/06/2020,134194000
07/05/2020,132800000
07/04/2020,132949000
07/03/2020,132612000
07/02/2020,132751000
07/01/2020,133133000
06/30/2020,132296000
06/29/2020,132958000
06/28/2020,132650000
06/27/2020,131977000
06/26/2020,133701000
06/25/2020,133965000
06/24/2020,134150000
06/23/2020,136356000
